,v1_unit,dlgn_unit,upper_bound,ampc,loss
497,1,1_1,0.1,0.02374,0.1608
498,1,1_1,0.1,0.01718,0.0782
499,1,1_1,0.1,0.0258,0.1001
500,1,1_1,0.1,0.02394,0.1257
501,1,1_1,0.1,0.01608,0.07104
502,1,1_1,0.1,0.01627,0.0755
503,1,1_1,0.1,0.02003,0.08203
504,1,1_1,0.1,0.02003,0.0857
505,1,1_1,0.1,0.0215,0.09344
506,1,1_1,0.1,0.01559,0.075
507,1,1_1,0.1,0.02492,0.121
508,1,1_1,0.1,0.02016,0.0734
509,1,1_1,0.1,0.0228,0.0915
510,1,1_1,0.1,0.02052,0.0709
511,1,1_1,0.1,0.02034,0.08435
512,1,1_1,0.1,0.01878,0.06903
513,1,1_1,0.1,0.0159,0.0874
514,1,1_1,0.1,0.02058,0.1067
515,1,1_1,0.1,0.02112,0.0728
516,1,1_1,0.1,0.01749,0.07117
517,1,1_1,0.1,0.03265,0.08203
518,1,1_1,0.1,0.01933,0.07855
519,1,1_1,0.1,0.01929,0.0709
520,1,1_1,0.1,0.02644,0.07947
521,1,1_1,0.1,0.01768,0.1428
522,1,1_1,0.1,0.02628,0.08496
523,1,1_1,0.1,0.02625,0.0884
524,1,1_1,0.1,0.01689,0.117
525,1,1_1,0.1,0.01974,0.0759
526,1,1_1,0.1,0.02014,0.1142
527,1,1_1,0.1,0.0229,0.0792
528,1,1_1,0.1,0.02031,0.0784
529,1,1_1,0.1,0.0242,0.11084
530,1,1_1,0.1,0.02235,0.0804
531,1,1_1,0.1,0.02141,0.08966
532,1,1_1,0.1,0.01588,0.0683
533,1,1_1,0.1,0.01625,0.0697
534,1,1_1,0.1,0.01758,0.1084
535,1,1_1,0.1,0.02171,0.0725
536,1,1_1,0.1,0.01799,0.0874
537,1,1_1,0.1,0.01808,0.08527
538,1,1_1,0.1,0.0238,0.1083
539,1,1_1,0.1,0.0193,0.07855
540,1,1_1,0.1,0.01917,0.07275
541,1,1_1,0.1,0.02324,0.07263
542,1,1_1,0.1,0.0242,0.114
543,1,1_1,0.1,0.02174,0.077
544,1,1_1,0.1,0.02106,0.07166
545,1,1_1,0.1,0.02147,0.0982
546,1,1_1,0.1,0.0186,0.0704
547,1,1_1,0.1,0.02216,0.11816
548,1,1_1,0.1,0.01917,0.06866
549,1,1_1,0.1,0.02061,0.10254
550,1,1_1,0.1,0.01736,0.0727
551,1,1_1,0.1,0.02235,0.0734
552,1,1_1,0.1,0.015,0.0768
553,1,1_1,0.1,0.01859,0.0731
554,1,1_1,0.1,0.0208,0.0843
555,1,1_1,0.1,0.02109,0.0766
556,1,1_1,0.1,0.01941,0.0877
557,1,1_1,0.1,0.01796,0.07294
558,1,1_1,0.1,0.01915,0.0868
559,1,1_1,0.1,0.0214,0.0837
560,1,1_1,0.1,0.0237,0.1001
561,1,1_1,0.1,0.01941,0.07495
562,1,1_1,0.1,0.0213,0.0959
563,1,1_1,0.1,0.02133,0.07684
564,1,1_1,0.1,0.02174,0.0856
565,1,1_1,0.1,0.01637,0.09204
566,1,1_1,0.1,0.01877,0.0728
567,1,1_1,0.1,0.0197,0.07635
568,1,1_1,0.1,0.01875,0.10095
569,1,1_1,0.1,0.02148,0.0727
570,1,1_1,0.1,0.02191,0.10364
571,1,1_1,0.1,0.02858,0.09644
572,1,1_1,0.1,0.02074,0.0796
573,1,1_1,0.1,0.02066,0.1073
574,1,1_1,0.1,0.02069,0.0853
575,1,1_1,0.1,0.0172,0.1617
576,1,1_1,0.1,0.02257,0.0752
577,1,1_1,0.1,0.01388,0.0813
578,1,1_1,0.1,0.01962,0.0729
579,1,1_1,0.1,0.01846,0.0849
580,1,1_1,0.1,0.0223,0.075
581,1,1_1,0.1,0.02165,0.0727
582,1,1_1,0.1,0.014206,0.0714
583,1,1_1,0.1,0.02042,0.1656
584,1,1_1,0.1,0.02097,0.0709
585,1,1_1,0.1,0.02303,0.07654
586,1,1_1,0.1,0.01625,0.07336
587,1,1_1,0.1,0.02023,0.11993
588,1,1_1,0.1,0.0226,0.0762
589,1,1_1,0.1,0.01976,0.06995
590,1,1_1,0.1,0.01854,0.084
591,1,1_1,0.1,0.02504,0.0743
592,1,1_1,0.1,0.01816,0.1135
593,1,1_1,0.1,0.02193,0.07416
594,1,1_1,0.1,0.02246,0.0988
595,1,1_1,0.1,0.02339,0.0862
596,1,1_1,0.1,0.01753,0.07623
597,1,1_1,0.1,0.01996,0.0788
598,1,1_1,0.1,0.02588,0.0917
599,1,1_1,0.1,0.01976,0.0742
600,1,1_1,0.1,0.02222,0.07983
601,1,1_1,0.1,0.02,0.07227
602,1,1_1,0.1,0.01854,0.07526
603,1,1_1,0.1,0.02823,0.1223
604,1,1_1,0.1,0.0217,0.0939
605,1,1_1,0.1,0.01671,0.0885
606,1,1_1,0.1,0.01694,0.1245
607,1,1_1,0.1,0.01796,0.0725
608,1,1_1,0.1,0.0227,0.08685
609,1,1_1,0.1,0.02235,0.1542
610,1,1_1,0.1,0.01712,0.07806
611,1,1_1,0.1,0.02216,0.0776
612,1,1_1,0.1,0.02298,0.08246
613,1,1_1,0.1,0.01927,0.07184
614,1,1_1,0.1,0.0297,0.1366
615,1,1_1,0.1,0.0195,0.075
616,1,1_1,0.1,0.01904,0.0778
617,1,1_1,0.1,0.02203,0.152
618,1,1_1,0.1,0.02185,0.0728
619,1,1_1,0.1,0.01996,0.0757
620,1,1_1,0.1,0.01938,0.101
621,1,1_1,0.1,0.01846,0.0706
622,1,1_1,0.1,0.02098,0.0755
623,1,1_1,0.1,0.01762,0.07117
624,1,1_1,0.1,0.0228,0.08
625,1,1_1,0.1,0.0177,0.0758
626,1,1_1,0.1,0.02089,0.08704
627,1,1_1,0.1,0.02394,0.07196
628,1,1_1,0.1,0.01642,0.086
629,1,1_1,0.1,0.01971,0.0707
630,1,1_1,0.1,0.02277,0.08167
631,1,1_1,0.1,0.03026,0.08936
